#Frame     RMSD_00002
 4556492       1.6329
 4556345       1.6369
 4556359       1.6503
 4556527       1.6511
 4556394       1.6684
 4556378       1.6841
 4556414       1.7018
 4535267       1.7541
 8026775       1.7559
 4535179       1.7579
 8026496       1.7633
 8026506       1.7662
 4539361       1.7665
 4539241       1.7702
 4536268       1.7704
 4535823       1.7711
 4536334       1.7814
 4539254       1.7826
 4539387       1.7833
 4535534       1.7851
 4535168       1.7872
 4535623       1.7974
 4536512       1.7981
 4539282       1.7993
 4535800       1.8140
 4556423       1.8185
 4556324       1.8222
 4558547       1.8342
 4560680       1.8349
 4558991       1.8505
 4558813       1.8647
 4553986       1.8796
 4559258       1.8806
 4551693       1.8819
 4553826       1.8831
 4551533       1.8855
 4553844       1.8947
 4554021       1.8954
 4551551       1.8971
 4551729       1.8978
 4556979       1.9007
 8884189       1.9045
 4553880       1.9105
 4551586       1.9128
 4556424       1.9164
 8882963       1.9176
 4565010       1.9251
 8885948       1.9268
 8882909       1.9269
 8885362       1.9345
 4556601       1.9388
 4564659       1.9399
 4565019       1.9406
 8022311       1.9410
 8018025       1.9427
 4564565       1.9433
 8883602       1.9467
 8020074       1.9515
 4556645       1.9542
 4564574       1.9546
 8018345       1.9547
 4564681       1.9552
 8883015       1.9562
 4536780       1.9666
 8020064       1.9682
 4564596       1.9698
 4536660       1.9700
 8876409       1.9737
 4546240       1.9746
 8022418       1.9751
 4546120       1.9779
 8045193       1.9787
 4536673       1.9811
 4536806       1.9818
 4564587       1.9832
 8882180       1.9848
 8876422       1.9868
 4546133       1.9890
 4546266       1.9897
 8881452       1.9939
 4536699       1.9962
 8875976       1.9972
 4564609       1.9982
 8020113       1.9988
 8876389       1.9998
 4546160       2.0040
 8876189       2.0073
 8875984       2.0101
 4535158       2.0105
 4549400       2.0109
 4535167       2.0138
 4549240       2.0142
 8880973       2.0144
 4548244       2.0148
 8905924       2.0154
 8020193       2.0168
 4548067       2.0181
 4544520       2.0183
 8876196       2.0201
 4544400       2.0216
 8875963       2.0230
 4535181       2.0247
 4549258       2.0251
 4535314       2.0253
 4549436       2.0257
 4548058       2.0290
 4548333       2.0296
 8017856       2.0317
 4544414       2.0324
 8876176       2.0329
 4544547       2.0331
 8905178       2.0367
 4516002       2.0383
 4535207       2.0394
 4549294       2.0398
 8879031       2.0412
 4515004       2.0416
 4526878       2.0436
 4548068       2.0437
 4565507       2.0438
 8881052       2.0447
 4526519       2.0469
 4544440       2.0471
 8878712       2.0480
 4556314       2.0516
 4513904       2.0523
 4514003       2.0529
 8905711       2.0554
 8881294       2.0558
 4526559       2.0576
 4526960       2.0582
 4565520       2.0584
 8905498       2.0644
 4556319       2.0661
 4514403       2.0668
 8879832       2.0688
 8875471       2.0692
 7682828       2.0701
 4526639       2.0721
 8879351       2.0760
 8874315       2.0762
 8903757       2.0801
 8874329       2.0814
 8875473       2.0817
 4514143       2.0826
 7682920       2.0841
 7682728       2.0845
 4514063       2.0858
 8903598       2.0868
 8883609       2.0874
 4518622       2.0896
 8906132       2.0924
 4518262       2.0927
 8875466       2.0941
 8875551       2.0957
 8883022       2.0962
 4513894       2.0963
 4514222       2.0970
 7682946       2.0984
 8905918       2.0991
 8874325       2.0993
 4518301       2.1032
 8875764       2.1033
 4518702       2.1038
 8904078       2.1073
 8875557       2.1080
 4542800       2.1105
 4513903       2.1106
 8905385       2.1110
 4542681       2.1137
 8026598       2.1142
 8903919       2.1143
 8018687       2.1148
 8019113       2.1154
 4541081       2.1155
 4518383       2.1174
 4540961       2.1187
 8906345       2.1194
 8905172       2.1195
 8906476       2.1196
 8874435       2.1197
 8875538       2.1203
 8878259       2.1229
 8017866       2.1236
 4542694       2.1240
 8018900       2.1242
 4589046       2.1246
 4542827       2.1247
 8906239       2.1264
 8874542       2.1266
 8875750       2.1278
 4540974       2.1290
 4541107       2.1296
 8904926       2.1300
 8878269       2.1314
 4590379       2.1334
 8903438       2.1341
 8905705       2.1375
 4542720       2.1381
 4588991       2.1386
 4541000       2.1430
 8905491       2.1461
 4590401       2.1474
 8902150       2.1482
 8904862       2.1484
 4589135       2.1539
 8021378       2.1557
 8901367       2.1567
 8906761       2.1590
 8021478       2.1595
 8902335       2.1603
 8902122       2.1604
 4590516       2.1651
 4589224       2.1678
 8901553       2.1686
 8901340       2.1688
 8902132       2.1722
 4590525       2.1789
 7529472       2.1790
 8901350       2.1806
 8901503       2.1877
 7539272       2.1891
 8881383       2.1894
 7529650       2.1927
 7683079       2.1942
 7997424       2.1970
 7591525       2.1973
 8900471       2.1977
 7529117       2.1980
 8906467       2.1994
 7683399       2.2014
 7541050       2.2027
 7997371       2.2034
 8900586       2.2037
 7542988       2.2070
 7683133       2.2078
 7528940       2.2079
 8904871       2.2093
 7591553       2.2108
 7528840       2.2115
 8900470       2.2140
 7683453       2.2150
 8900772       2.2154
 8900558       2.2155
 8026545       2.2156
 7539072       2.2173
 7543007       2.2205
